"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"gene9387",-0.602784602784586,5.6588785046729,-4.96323911448118,1.39121292145676e-06,0.000116272552150917,5.01034225700678
"gene7484",-0.635749385749437,6.8785046728972,-4.95881309252298,1.42000293731773e-06,0.000117860243797371,4.99118794331643
"gene10384",-0.602170352170346,5.8411214953271,-4.94924080250811,1.48425417894535e-06,0.000121517000296649,4.94980860573078
"gene10314",-0.551597051597079,5.34579439252336,-4.94298080926326,1.52778513898902e-06,0.000123401974145858,4.92278200339261
"gene962",-0.507985257985284,10.785046728972,-4.92583474469716,1.65343854658126e-06,0.000130915348079641,4.84889530231098
"gene9135",-0.610565110565183,6.85046728971963,-4.91717462274978,1.72064830122734e-06,0.000135346420295889,4.81165413302387
"gene4863",-0.589066339066347,8.72897196261682,-4.90154900346613,1.84866273632958e-06,0.000142619589946965,4.74459099612524
"gene8990",-0.560401310401247,4.73364485981308,-4.88726090549609,1.97374880394215e-06,0.000150912960944547,4.68341703375007
"gene8620",-0.858108108108073,4.90654205607477,-4.886433031924,1.98124202984947e-06,0.000150912960944547,4.67987688374574
"gene5474",-0.633906633906675,6.92523364485981,-4.88438936202428,1.99985762060147e-06,0.000151241314520992,4.6711397960686
"gene10861",0.507575757575794,6.09345794392523,4.87541328811921,2.0836422670828e-06,0.000154899542178983,4.63279983624936
"gene10057",-0.657248157248169,8.5,-4.87526417498865,2.08506238745286e-06,0.000154899542178983,4.63216339671017
"gene6896",-0.640663390663294,7.92056074766355,-4.87251374990304,2.11142529793839e-06,0.000155895726752691,4.62042691199805
"gene7791",-0.516994266994233,7.11214953271028,-4.86087010587747,2.22664456127173e-06,0.000161446953291625,4.57080027079226
"gene7599",-0.702293202293185,6.63551401869159,-4.85786614037062,2.25734281355383e-06,0.000162514842257988,4.55801238949113
"gene10674",-0.823505323505294,6.17289719626168,-4.85648961859233,2.27154615428099e-06,0.000162514842257988,4.5521546465938
"gene11155",-0.553235053235061,4.85981308411215,-4.85547268773996,2.28209458592438e-06,0.000162514842257988,4.54782798305973
"gene3576",-0.635339885339821,8,-4.85084077606106,2.33074258201817e-06,0.000165002864556404,4.52813007969603
"gene5412",-0.621416871416838,6.13084112149533,-4.84234503318685,2.42258974757785e-06,0.00016951085820988,4.49203973182799
"gene7309",-0.544226044226105,7.03271028037383,-4.82439908563701,2.62824330256244e-06,0.000180346145135995,4.41597094206946
"gene5560",-0.588656838656829,6.35046728971963,-4.82433070778595,2.62905824835822e-06,0.000180346145135995,4.41568153665464
"gene1164",-0.569819819819806,10.4392523364486,-4.81787420270923,2.70711862122859e-06,0.000183034677564528,4.38836955787833
"gene2787",-0.572072072072103,9.27102803738318,-4.81201320257292,2.77991479380295e-06,0.000186906561695076,4.36360205805723
"gene4266",0.901310401310458,7.91121495327103,4.80351895079633,2.88878322574598e-06,0.000192080144319629,4.32774987399485
"gene9346",-0.707411957411988,7.11682242990654,-4.80030365742972,2.93105793610966e-06,0.000192761105251802,4.31419216910787
"gene6549",-0.633701883701784,6.98598130841121,-4.79587987309143,2.99019979731354e-06,0.000194524619246857,4.29555062477993
"gene3727",0.761875511875489,7.54205607476636,4.7942564624094,3.01219106102505e-06,0.000194717207690887,4.28871314039071
